Городские округа,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Багратионовский,-,-,-,к,к,к,к,к,к,к
Балтийский,-,-,-,к,к,к,275364,к,к,к
г. Калининград,432157,539460,394496,896072,1196307,1314754,1474941,2646966,2610624,3084768
Гвардейский,к,к,к,89749,139862,130932,121134,к,к,к
Гурьевский,к,28624,34193,57291,62847,61436,68281,51082,67679,100393
Гусевский,к,к,к,к,к,к,к,к,-,-
Зеленоградский,к,2037,к,69706,95701,к,120262,к,к,к
Краснознаменский,5305,7646,к,-,-,-,-,-,- ,-
Ладушкинский,-,-,-,к,к,к,к,-,- ,-
Мамоновский,-,-,-,к,к,к,к,к,к,к
Неманский,11966,к,к,к,к,к,к,к,к,-
Нестеровский,к,к,к,-,-,-,к,к,к,к
Озерский,2238,2211,1230,-,-,-,-,-,- ,-
Пионерский,-,к,к,к,к,к,к,-,к,-
Полесский,к,1988,к,к,-,-,-,-,- ,-
Правдинский,к,-,-,-,-,-,-,-,- ,-
Светловский,к,к,-,к,к,к,28364,к,к,к
Светлогорский,17852,20854,19923,112486,177260,193038,170413,42654,12083,21827
Славский,к,к,к,к,к,к,к,к,к,к
Советский,7561,13857,к,к,к,к,24495,4768,3249,к
Черняховский,9456,к,к,к,к,к,183723,к,к,к
Янтарный,к,к,-,к,к,к,к,к,к,к