"name","ОКТМО","Население"
"Калининградская область",27000000000,"1027678"
"Багратионовский городской округ", 27603000000, "32922"
"Балтийский городской округ",27605000000,"37695"
"Гвардейский городской округ",27706000000,"28758"
"городской округ Калининград",27701000000,"498260"
"Гурьевский городской округ",27707000000,"74314"
"Гусевский городской округ",27709000000,"36572"
"Зеленоградский городской округ",27710000000,"41164"
"Краснознаменский городской округ",27713000000,"11382"
"Ладушкинский городской округ",27711000000,"3893"
"Мамоновский городской округ",27712000000,"8324"
"Неманский городской округ",27621000000,"18003"
"Нестеровский городской округ",27624000000,"14675"
"Озёрский городской округ",27716000000,"12958"
"Пионерский городской округ",27717000000,"12860"
"Полесский городской округ",27630000000,"18058"
"Правдинский городской округ",27719000000,"18271"
"Светловский городской округ",27725000000,"28558"
"Светлогорский городской округ",27634000000,"21465"
"Славский городской округ",27727000000,"18432"
"Советский городской округ",27730000000,"38465"
"Черняховский городской округ",27739000000,"46013"
"Янтарный городской округ",27740000000,"6636"